lighting_condition,crowd_level,emergency_distance,area_type,time_hour,historical_risk,companion_status,safe_haven_count,risk_score,risk_level
pitch_dark,deserted,over_3km,deserted_alley,1,high,alone,0,89,High
pitch_dark,deserted,1km_3km,industrial,2,high,alone,0,85,High
pitch_dark,low,over_3km,park,23,elevated,alone,0,78,High
dim,deserted,1km_3km,residential,22,moderate,alone,0,67,High
dim,low,500m_1km,transit_hub,21,moderate,alone,1,55,Medium
moderate,moderate,500m_1km,commercial,20,low,alone,2,42,Medium
moderate,high,under_500m,commercial,18,low,with_companion,3,26,Low
well_lit,high,under_500m,commercial,14,low,with_group,4,14,Low
well_lit,high,500m_1km,campus,12,low,with_group,3,16,Low
well_lit,moderate,under_500m,residential,10,low,alone,2,24,Low
pitch_dark,deserted,over_3km,industrial,3,high,alone,0,91,High
dim,deserted,over_3km,park,0,high,alone,0,83,High
moderate,low,1km_3km,residential,23,moderate,alone,1,58,Medium
well_lit,moderate,500m_1km,transit_hub,19,low,alone,2,36,Medium
well_lit,high,under_500m,commercial,17,low,with_companion,3,20,Low
pitch_dark,low,1km_3km,deserted_alley,2,high,alone,0,88,High
dim,low,1km_3km,industrial,22,elevated,alone,0,72,High
moderate,moderate,500m_1km,residential,15,low,alone,1,34,Low
well_lit,high,under_500m,campus,13,low,with_group,4,12,Low
dim,deserted,500m_1km,transit_hub,4,elevated,alone,1,69,High
moderate,low,over_3km,park,21,moderate,alone,0,63,Medium
well_lit,moderate,under_500m,commercial,11,low,alone,3,22,Low
pitch_dark,deserted,1km_3km,park,1,high,alone,0,86,High
dim,moderate,500m_1km,transit_hub,18,moderate,alone,2,48,Medium
well_lit,high,under_500m,commercial,16,low,with_companion,4,18,Low
dim,low,over_3km,residential,23,elevated,alone,0,74,High
moderate,moderate,1km_3km,commercial,20,moderate,alone,2,45,Medium
well_lit,moderate,500m_1km,campus,9,low,alone,3,25,Low
pitch_dark,deserted,over_3km,deserted_alley,3,high,alone,0,94,High
well_lit,high,under_500m,transit_hub,15,low,with_group,3,15,Low
